keyword,title,channel,published,url
Walgreens shooting,Walgreens Shooting: A Cultural Attire Debate,LaVar Walker TV,95 views,https://www.youtube.com/watch?v=pzUxano9xwg&pp=ygUSV2FsZ3JlZW5zIHNob290aW5n
Walgreens shooting,Woman killed in deputy shooting outside Deerfield Beach Walgreens identified,WPLG Local 10,568 views,https://www.youtube.com/watch?v=AB6bzLiPFAc&pp=ygUSV2FsZ3JlZW5zIHNob290aW5n
Walgreens shooting,Murder Charges Dropped for Concealed Carrier |  Walgreens Shooting Ruled Self-Defense #selfdefense,USA Carry,8.7K views,https://www.youtube.com/shorts/bw4NLpA6RL4
Walgreens shooting,Deputy shoots woman outside Walgreens,WPLG Local 10,2.8K views,https://www.youtube.com/watch?v=358S4hGWIDQ&pp=ygUSV2FsZ3JlZW5zIHNob290aW5n
Walgreens shooting,"Woman fatally shot by BSO deputies outside Deerfield Beach Walgreens, authorities say",CBS Miami,1.5K views,https://www.youtube.com/watch?v=voxtb6Qi8o8&pp=ygUSV2FsZ3JlZW5zIHNob290aW5n
Walgreens shooting,Walgreens Confrontation Turns Deadly — Was It Worth It?,Mike Styles Experience,58 views,https://www.youtube.com/watch?v=MrI3z9dE7hQ&pp=ygUSV2FsZ3JlZW5zIHNob290aW5n
Walgreens shooting,"He Confronted a Man at Walgreens Over His Girl, Now He’s Dead, and the Shooter Walks Free",YeaImStacie,13K views,https://www.youtube.com/watch?v=EZDygp3_7HE&pp=ygUSV2FsZ3JlZW5zIHNob290aW5n
Walgreens shooting,Walgreens Shooting: Pharmacist's Tragic Story,LaVar Walker TV,121 views,https://www.youtube.com/watch?v=VauyjFO2qlg&pp=ygUSV2FsZ3JlZW5zIHNob290aW5n
Walgreens shooting,Walgreens Shooting: Pharmacist's Tragic Story,LaVar Walker Show Podcast,3 views,https://www.youtube.com/watch?v=KNNBvknTvUo&pp=ygUSV2FsZ3JlZW5zIHNob290aW5n
Walgreens shooting,Video shows fatal shooting inside Miramar Walgreens prosecutors deemed 'stand your grand',WPLG Local 10,1.5K views,https://www.youtube.com/watch?v=s24QeOhp6vw&pp=ygUSV2FsZ3JlZW5zIHNob290aW5n
Walgreens shooting,Surveillance video shows fatal shooting at Walgreens in Miramar,WPLG Local 10,2.9K views,https://www.youtube.com/watch?v=lvAi2f8MyF0&pp=ygUSV2FsZ3JlZW5zIHNob290aW5n
Walgreens shooting,Stand Your Ground: Walgreens Shooter FREED After Murd*r  Charges Dropped. Update!!!,AllNewsReactTV w/ Mario Rey,836 views,https://www.youtube.com/watch?v=DjU8n6hE9QM&pp=ygUSV2FsZ3JlZW5zIHNob290aW5n
Walgreens shooting,Charges dropped against man in deadly shooting at Miramar Walgreens,WSVN-TV,467 views,https://www.youtube.com/watch?v=PriGQOurtwE&pp=ygUSV2FsZ3JlZW5zIHNob290aW5n
Walgreens shooting,Charges dropped against man who fatally shot another in Walgreens,NBC 6 South Florida,11K views,https://www.youtube.com/watch?v=J9kFz8IwFKc&pp=ygUSV2FsZ3JlZW5zIHNob290aW5n
Walgreens shooting,California man 'angry with pharmacies' accused of shooting and killing Walgreens employee,SMH America,542 views,https://www.youtube.com/shorts/e_Gs7MW4pbo
